"Belgium","0","0.5","0.6","0","0.6","0.6","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0","0.6","0.7","0","0.7","0.8","0.1","0.8","0.9","0.1","0.7","0.8","0.1","0.7","0.7","0","0.6","0.6","0","0.7","0.8","0","0.8","0.8","0","0.7","0.7","0","0.8","0.8","0.1","0.9","1","0","0.8","0.8","0.1","0.8","0.9"
"Belize","0.1","1.3","1.4","0","1.4","1.5","0.1","1.4","1.5","0.1","1.5","1.5","0.1","1.6","1.7","0","2.1","2.1","0","2.4","2.4","0","2.6","2.6","0","2.7","2.7","0","2.5","2.5","0","2.2","2.2","0","1.8","1.8","0.1","1.4","1.5","0.1","1.2","1.3","0.1","1.4","1.5","0.1","1.8","2","0.1","1.8","1.9","0.1","1.5","1.6"
"Benin","0","4.4","4.4","0","4.5","4.5","0","4.6","4.6","0","4.6","4.7","0","4.6","4.6","0","4.5","4.5","0","4.3","4.3","0","3.9","4","0","3.7","3.7","0","3.5","3.5","0","3.4","3.4","0","3.4","3.4","0","3.4","3.4","0","3.5","3.6","0","3.7","3.7","0","3.8","3.8","0","3.8","3.9","0","3.9","3.9"
"Bhutan","0","1.6","1.7","0","1.7","1.7","0","1.8","1.8","0","1.8","1.9","0","1.9","1.9","0","1.9","2","0","2","2","0","2","2.1","0","2.1","2.1","0","2.2","2.3","0","2.4","2.4","0","2.4","2.5","0","2.6","2.6","0","2.7","2.7","0","2.8","2.9","0","3","3","0","3.1","3.2","0","3.3","3.3"
"Bolivia (Plurinational State of)","0","2.5","2.5","0","2.5","2.6","0","2.6","2.6","0","2.6","2.7","0","2.6","2.6","0","2.7","2.8","0","2.8","2.9","0","3","3","0","3.1","3.2","0","3.3","3.3","0","3.4","3.5","0","3.6","3.7","0","3.9","3.9","0","4.1","4.1","0","4.3","4.3","0","4.5","4.6","0","4.7","4.7","0","4.7","4.8"
"Bosnia and Herzegovina","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","0.7","0.7","0","0.7","0.7","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8"
"Botswana","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","0.9","0.9","0","0.9","0.9","0","0.9","0.9","0","0.8","0.8"
"Brazil","0","1.3","1.4","0","1.4","1.5","0","1.3","1.3","0","1.4","1.4","0","1.4","1.4","0","1.5","1.5","0","1.5","1.5","0","1.6","1.6","0","1.6","1.6","0","1.7","1.7","0","1.7","1.8","0","1.9","1.9","0","2.1","2.1","0","2.2","2.2","0","2.3","2.4","0","2.5","2.6","0","2.8","2.8","0","2.6","2.7"
"Brunei Darussalam","0","2.9","3","0.1","2.4","2.5","0.1","2.2","2.3","0","1.5","1.5","0.1","2","2.1","0.1","2","2","0.1","2.1","2.3","0.1","1.6","1.7","0.1","1.9","2","0.1","1.8","1.9","0.1","2.3","2.4","0.1","2","2.1","0.1","2","2","0.1","1.6","1.7","0.1","1.6","1.6","0.1","1.4","1.5","0.1","1.4","1.5","0.1","1.4","1.5"
"Bulgaria","0","0.7","0.7","0","0.8","0.8","0","0.8","0.8","0.1","0.8","0.9","0","1","1","0","1","1","0","0.9","0.9","0","0.9","0.9","0","0.9","0.9","0","1","1","0","1.2","1.3","0","1.4","1.4","0","1.1","1.2","0","1.6","1.6","0","1.3","1.3","0","2","2","0.1","1.6","1.7","0","1.4","1.4"
